Strike,Symbol,Last,Bid,Ask,Vol
33.57,AAPL140719C00033570,60.05,59.65,60.4,1
41.43,AAPL140719C00041430,43.54,51.8,52.65,0
42.86,AAPL140719C00042860,41.86,50.35,51.1,0
44.29,AAPL140719C00044290,48.3,48.95,49.7,4
48.57,AAPL140719C00048570,42.05,44.65,45.6,0
49.29,AAPL140719C00049290,35.23,43.95,44.7,5
50,AAPL140719C00050000,43.8,43.15,44.1,2
52.14,AAPL140719C00052140,35.08,41.1,41.95,0
53.57,AAPL7140719C00053570,30.56,37.8,42,0
54.29,AAPL140719C00054290,34.86,38.95,39.7,15571
54.29,AAPL7140719C00054290,37.43,37.1,41.6,0
55,AAPL140719C00055000,35.39,38.15,39.1,0
56.43,AAPL140719C00056430,33.96,36.8,37.7,0
56.43,AAPL7140719C00056430,29,35,39.45,0
57.14,AAPL140719C00057140,248.45,36.1,36.95,4
57.14,AAPL7140719C00057140,250.47,34.2,38.75,1
57.86,AAPL140719C00057860,34.29,35.35,36.1,0
58.57,AAPL140719C00058570,30.56,34.65,35.55,0
59.29,AAPL140719C00059290,32.45,33.95,34.8,0
59.29,AAPL7140719C00059290,22.14,32.1,36.6,0
60,AAPL140719C00060000,33.5,33.5,33.9,16
60,AAPL7140719C00060000,15.87,31.4,35.9,8
60.71,AAPL140719C00060710,31.75,32.5,33.25,7
60.71,AAPL7140719C00060710,29.03,30.8,35,0
61.43,AAPL140719C00061430,31,31.8,32.55,0
61.43,AAPL7140719C00061430,220,30,34.45,1
62.14,AAPL140719C00062140,26.96,31.1,31.85,0
62.86,AAPL140719C00062860,25.84,30.25,31.15,0
62.86,AAPL7140719C00062860,23.07,28.5,33,0
63.57,AAPL140719C00063570,29.1,29.65,30.4,5
63.57,AAPL7140719C00063570,22.74,27.8,32,0
64.29,AAPL140719C00064290,28.32,28.95,29.7,7
64.29,AAPL7140719C00064290,27.93,27.1,31.6,0
65,AAPL140719C00065000,193.7,28.25,29.1,10
65,AAPL7140719C00065000,18.94,26.5,30.9,4
65.71,AAPL140719C00065710,26.75,27.5,28.25,0
65.71,AAPL7140719C00065710,20.71,25.65,30,0
66.43,AAPL140719C00066430,23.86,26.8,27.55,0
66.43,AAPL7140719C00066430,16.71,25,29.5,0
67.14,AAPL140719C00067140,22.7,26.1,26.85,0
67.14,AAPL7140719C00067140,25,24.35,28.75,10
67.86,AAPL140719C00067860,25.77,25.65,26.1,14
67.86,AAPL7140719C00067860,18.9,23.55,28,0
68.57,AAPL140719C00068570,25.25,24.65,25.35,21
68.57,AAPL7140719C00068570,16.17,22.9,27,0
69.29,AAPL140719C00069290,24.52,24.15,24.65,35
70,AAPL140719C00070000,22.25,23.6,23.95,160
70,AAPL7140719C00070000,159,21.5,25.9,2
70.71,AAPL140719C00070710,20.05,22.7,23.3,20
70.71,AAPL7140719C00070710,14,20.65,25,0
71.43,AAPL140719C00071430,22.1,22.15,22.5,14
71.43,AAPL7140719C00071430,21.9,20.05,23,10
72.14,AAPL140719C00072140,21.15,21.35,21.85,6
72.14,AAPL7140719C00072140,18.21,19.4,22.1,0
72.86,AAPL140719C00072860,19.23,20.75,21.1,16
72.86,AAPL7140719C00072860,20.7,18.55,23,4
73.57,AAPL140719C00073570,19.25,20,20.4,2
73.57,AAPL7140719C00073570,16.71,17.85,21.75,3
74.29,AAPL140719C00074290,19.45,19.3,19.65,186
74.29,AAPL7140719C00074290,18,17.15,20.65,0
75,AAPL140719C00075000,18.75,18.6,18.9,32
75,AAPL7140719C00075000,17.11,16.4,19.6,0
75.71,AAPL140719C00075710,119,17.9,18.25,10
75.71,AAPL7140719C00075710,18,15.75,18.45,27
76.43,AAPL140719C00076430,16.2,17.15,17.55,9
76.43,AAPL7140719C00076430,13.14,15.05,19.5,0
77.14,AAPL140719C00077140,16.45,16.5,16.75,1107
77.14,AAPL7140719C00077140,16.7,15,17.3,4
77.86,AAPL140719C00077860,15.6,15.75,16.1,71
77.86,AAPL7140719C00077860,14.5,13.6,17.45,0
78.57,AAPL140703C00078570,11.36,14.3,15.4,0
78.57,AAPL140719C00078570,15.29,15.05,15.4,469
78.57,AAPL7140719C00078570,14.2,12.95,15.6,266
79.29,AAPL140719C00079290,14.4,14.35,14.65,49
79.29,AAPL7140719C00079290,13.16,12.2,16.55,7
80,AAPL140703C00080000,12.64,12.9,14,0
80,AAPL140711C00080000,12.58,12.25,14.15,4
80,AAPL140719C00080000,13.85,13.7,13.9,329
80,AAPL7140719C00080000,88.68,11.5,15.7,2
80.71,AAPL140719C00080710,13.25,12.95,13.25,29
80.71,AAPL7140719C00080710,85.05,11,15.3,4
81.43,AAPL140703C00081430,9.79,11.5,12.55,0
81.43,AAPL140719C00081430,12.45,12.25,12.55,1725
81.43,AAPL7140719C00081430,12,10.1,13.45,28
81.43,AAPL140725C00081430,11.11,12.45,12.9,15
82.14,AAPL140703C00082140,8.09,10.8,11.85,0
82.14,AAPL140719C00082140,11.65,11.6,11.8,507
82.14,AAPL7140719C00082140,74.6,9.45,12.4,169
82.5,AAPL140703C00082500,10.9,10.85,11.5,3
82.86,AAPL140703C00082860,8.01,10.05,11.15,0
82.86,AAPL140719C00082860,10.95,10.9,11.05,310
82.86,AAPL7140719C00082860,11,9,11.4,38
83.57,AAPL140703C00083570,8.24,9.4,10.45,0
83.57,AAPL140719C00083570,10.28,10.2,10.45,96
83.57,AAPL7140719C00083570,9.7,8.5,10.6,35
83.93,AAPL140703C00083930,8.74,9.05,10.1,0
84.29,AAPL140703C00084290,8.31,8.7,9.75,0
84.29,AAPL140711C00084290,6.96,8.15,9.85,0
84.29,AAPL140719C00084290,9.6,9.55,9.75,138
